passengerid,survived
916,0.6893070236127911
917,0.8556698551672012
918,0.8030567087346084
919,0.13604809052034825
920,0.9543565778466992
921,0.8585983065010554
922,0.1502712987970212
923,0.11956572088354647
924,0.574134633012278
925,0.15603977482331732
926,0.15639780930596614
927,0.07532676798148648
928,0.5793029262286554
929,0.6774883526806456
930,0.10915932865752309
931,0.26778321803262806
932,0.26139853279759967
933,0.11610569164975622
934,0.13865641634024417
935,0.11956572088354647
936,0.1336897291993377
937,0.10008170598756837
938,0.11834603385136891
939,0.10302932024567123
940,0.13782872737020785
941,0.15236715385094318
942,0.24966542009977005
943,0.6980306349193289
944,0.2700338015994699
945,0.10968687826037012
946,0.7621347027944035
947,0.7453891725076952
948,0.1587888395139863
949,0.25291396252328713
950,0.2798638784131679
951,0.1381427742617802
952,0.894116929468754
953,0.09281429851266362
954,0.20565445234375263
955,0.12374925631792699
956,0.1046716594261924
957,0.9514412251472181
958,0.14380785791455886
959,0.9541293691603526
960,0.10257307189524269
961,0.09281429851266362
962,0.25605842967029174
963,0.1211184927216905
964,0.1063427146163763
965,0.14995854542651285
966,0.6241977181494841
967,0.07774998178325138
968,0.9678695503322079
969,0.1424366893101932
970,0.7621347027944035
971,0.8043537209426826
972,0.27015950233030644
973,0.14505131761474596
974,0.10257307189524269
975,0.47596368734324096
976,0.9455782462066818
977,0.5897814373927791
978,0.7768350154171538
979,0.09809554935886167
980,0.15450822681827897
981,0.10127504230029663
982,0.5593813638973796
983,0.8089488404284806
984,0.14650222342039973
985,0.8980760920874727
986,0.13980409906351796
987,0.6732809174905126
988,0.7621347027944035
989,0.8513087926305045
990,0.14534272745337237
991,0.35405816563410203
992,0.09281429851266362
993,0.9012769946851066
994,0.14505131761474596
995,0.1412758420676329
996,0.25093965427488363
997,0.11974908012794949
998,0.10767381489023715
999,0.48210278746915053
1000,0.44542634143620646
1001,0.789340545877319
1002,0.07146931307366837
1003,0.8030567087346084
1004,0.2798638784131679
1005,0.574134633012278
1006,0.2589323505777574
1007,0.9600733191878345
1008,0.32378320561755297
1009,0.25480650335844773
1010,0.10257307189524269
1011,0.13807967352146563
1012,0.10257307189524269
1013,0.2304256216784421
1014,0.14746325875523356
1015,0.39216225907106655
1016,0.8560547100468562
1017,0.809694546837278
1018,0.09657958294467435
1019,0.14808246497344094
1020,0.13782872737020785
1021,0.7030393854296154
1022,0.1410920426356559
1023,0.7407842423303336
1024,0.13622636138035438
1025,0.659894098880431
1026,0.11956572088354647
1027,0.1502712987970212
1028,0.6216745404188937
1029,0.10127504230029663
1030,0.07146931307366837
1031,0.25137217571897597
1032,0.11173024198078854
1033,0.7407093273169311
1034,0.2569698584894173
1035,0.21529368288136663
1036,0.9641299476993019
1037,0.1335365511953657
1038,0.1046716594261924
1039,0.9559789970899446
1040,0.1424366893101932
1041,0.0916271543540151
1042,0.9504448809805868
1043,0.14695089710416015
1044,0.13980409906351796
1045,0.9506925974805948
1046,0.11863968739968257
1047,0.13604809052034825
1048,0.8030567087346084
1049,0.6241977181494841
1050,0.13604809052034825
1051,0.9592468985833599
1052,0.960158723964346
1053,0.14505131761474596
1054,0.9632077290080987
1055,0.2515289714980194
1056,0.12162814287512222
1057,0.11956572088354647
1058,0.14505131761474596
1059,0.13846493151656758
1060,0.2515289714980194
1061,0.2995088267821672
1062,0.8800589289253876
1063,0.3933213934821141
1064,0.14505131761474596
1065,0.09281429851266362
1066,0.14410334423409685
1067,0.1424366893101932
1068,0.10257307189524269
1069,0.1410920426356559
1070,0.16752363094469136
1071,0.10915932865752309
