passengerid,survived,Base,11,15
0,0,0.040710698003654934,0.026995513829698115,0.03201251586240036
1,0,0.8998799621623114,0.9022786427650508,0.8977098448281169
2,1,0.9820405489646788,0.983897239985462,0.9855666497709393
3,1,0.08377779582093002,0.08044609713454641,0.08374501649200708
4,0,0.05769649061268225,0.05071102905766399,0.03760035713498828
5,0,0.5772886324488338,0.5502381694311699,0.5173490116979607
6,0,0.1165838206170854,0.1048473932253492,0.10589555883253426
7,1,0.8437520340549501,0.850706275821338,0.8390478616251542
8,0,0.08191733703948277,0.06364197405014164,0.07969469515268324
9,0,0.08528241493698088,0.08795554938288808,0.0848182323138602
10,1,0.9708052539228714,0.9787967853505704,0.9805625824630476
11,0,0.7677023342845863,0.8000697791486885,0.8322919810697094
12,1,0.8569560263302546,0.8802037818421169,0.8844449459502595
13,0,0.8824447855344881,0.8955413226468069,0.887934120745898
14,1,0.7781407338423876,0.7827888890573533,0.747652568978151
15,0,0.10638938902035826,0.10288830404794105,0.12230538265013838
16,0,0.11150279245657506,0.10776645644474551,0.10567330688685235
17,0,0.932226083586888,0.9423277199344909,0.932654960642456
18,1,0.9852640645382825,0.9855615470617506,0.9892357373583793
19,0,0.04823582133902688,0.033503237668477744,0.03586090366472443
20,0,0.03642131570119205,0.02887014419913004,0.031723645586889386
21,0,0.0588740249212993,0.05966866478276503,0.05917356812099765
22,0,0.03786002704171198,0.04110578573934721,0.04065438959026329
23,0,0.09005686896868713,0.08545481021370117,0.07218451480454255
24,1,0.9047505393954761,0.8958952021449874,0.900950372409138
25,0,0.08511304960012102,0.08695256197379377,0.08675846389140424
26,0,0.06526528435377787,0.06643077174940329,0.07332139593174805
27,0,0.05143101837863069,0.04841863695865669,0.056885596131727285
28,1,0.08756026636071362,0.08975746170150548,0.08181175029508209
29,0,0.09785944262314772,0.10884940530276963,0.10807807061522591
30,1,0.1424422807523849,0.13273142036777033,0.13627331853521177
31,0,0.04772834698310515,0.03889014884738559,0.041684008998257575
32,1,0.9862451526130683,0.9866789358624549,0.9860911185366671
33,0,0.017357045622668436,0.014268112313191613,0.018049178599285044
34,1,0.6909435407146839,0.721359711658791,0.7158676732507763
35,0,0.2511088264602685,0.07859435486804825,0.05811745028724566
36,0,0.07168066305597266,0.07642486968604456,0.0726669348475082
37,1,0.11619792463979473,0.13807652401982712,0.12061290699976623
38,0,0.05322942776613881,0.03418953038080115,0.03657707185340484
39,0,0.10772593986366909,0.09961118692172034,0.10002172767166133
40,0,0.13543990349844717,0.1313584305201299,0.18763778042416987
41,0,0.06842823369859471,0.07398736155595977,0.07160652961451161
42,0,0.07380260412623325,0.0762653516354969,0.0778822183109169
43,1,0.9602214964207093,0.9639904779453656,0.9674523935123036
44,0,0.11993374392192367,0.11585933115427764,0.12245517677585836
45,1,0.9052833238377463,0.8889517071964423,0.9301035905859655
46,0,0.22676489706120537,0.27796561240413986,0.3187488633102576
47,0,0.07600727925029478,0.06798384147109794,0.07035819600846425
48,0,0.03583618641230574,0.026118743098717718,0.03102440728564811
49,0,0.06842823369859471,0.07398736155595977,0.07160652961451161
50,0,0.06722939134503143,0.04881632152011573,0.05102790745900866
51,0,0.16978767483830154,0.1617350687655739,0.10642414957281154
52,0,0.12673191783503981,0.12315246436374494,0.12403171893332308
53,0,0.08461687210767752,0.07896031602491281,0.06718160971742955
54,0,0.019750350407194757,0.023651077112164413,0.024622227419077942
55,0,0.06953665543731287,0.06419506664353239,0.06937231532875414
56,1,0.9512768871311731,0.9424497251187328,0.952357255996765
57,0,0.09846977510135886,0.10679508305377557,0.11625211950129269
58,1,0.9722871618067219,0.9752199017419074,0.9722898516963614
59,0,0.12627399276883133,0.09765495389363282,0.10952001450228958
60,0,0.12098771441606387,0.11903468370948025,0.12937519680512427
61,0,0.13548392519169825,0.1148408696094527,0.11908344645484936
62,1,0.06536149606253788,0.06622084790853949,0.07428131821063984
63,0,0.06978378445606247,0.07503066352104451,0.07949341253240372
64,0,0.20944373184181367,0.21770713572405087,0.17379183884345922
65,1,0.0672701248539087,0.06700231524444697,0.07580155246056472
66,0,0.46227721391506765,0.4439157985640803,0.43883342510279616
67,0,0.18422809552917874,0.19649376965058835,0.20466294760648632
68,1,0.6957557800741477,0.7728268478842047,0.7667112167998635
69,1,0.8689420007187374,0.9096869636068846,0.9182400080374734
70,0,0.08775560774106132,0.07848722162949053,0.08758141350676732
71,1,0.07526426498516471,0.07885849280172139,0.07853684857461678
72,0,0.10980794110396593,0.058062540685858297,0.06054025949569033
73,1,0.9905548477544357,0.9911999475913726,0.9900493699607317
74,0,0.08112894689218689,0.07840551249095158,0.08608988286389216
75,0,0.08639968865060588,0.08942623278218638,0.0877861597908189
76,0,0.09432208341876734,0.09479434640581708,0.09886209563260083
77,1,0.08894490200994729,0.12662832020972023,0.13585133574076147
78,1,0.06417621408648415,0.0692145696648658,0.07060909809955583
79,0,0.10350105532370882,0.05756652434999323,0.05311088708882856
80,1,0.9509799179995841,0.9678621754124747,0.9600678203263302
81,1,0.9955727663478885,0.9961932380056369,0.9961795783114626
82,0,0.07600929547770492,0.07893152075297628,0.08125302423890311
83,1,0.15231836057046333,0.181702939197479,0.17366922316280775
84,1,0.9862149881697498,0.9894483047624321,0.9852021426312628
85,1,0.9937678165882665,0.9958613328815055,0.9941179952705185
86,1,0.9417984060596215,0.9603111878540956,0.9629475992765475
87,1,0.2199566707511055,0.25245915263425694,0.24915600909606384
88,0,0.09238535384042852,0.08051322900384233,0.0776832996544877
